ID,URL,Název nemovitosti,Cena,Poznámka k ceně,Upozornění,Číslo zakázky,Druh pozemku,Celková plocha,Inženýrské sítě,Typ nemovitosti,Umístění objektu,GPS souřadnice,listing_hash,src_web,ins_dt,upd_dt,del_flag,Poloha objektu,Počet podlaží v objektu,Užitná plocha,Plocha parcely,Druh objektu,Stav objektu,K nastěhování,Elektřina,Odpad,Zastavěná plocha,Typ domu,Energetická náročnost budovy,Dispozice,Číslo podlaží,Podlahová plocha,Vlastnictví,Voda,Vybaveno,Charakter okolní zástavby,Doprava,Garáž,Plyn,Telekomunikace,Umístění v chráněných lokalitách,Výtah,Bezbariérový byt,Plocha zahrady,Počet parkovacích míst,Počet podlaží pod zemí,Měrná vypočtená roční spotřeba energie v kWh/m²/rok,Ostatní rozvody,Občanská vybavenost,Plocha kanceláří,Vybavení kanceláří
414525,https://www.remax-czech.cz/reality/detail/414525/prodej-domu-120-m2-ostopovice,"Prodej domu 120 m², Ostopovice(ID 077-NP06625)","7 990 000
																		CZK/ za nemovitost",včetně provize a právního servisu,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 077-NP06625,,,,Domy a vily,Okraj obce,"49°09'46.2""N,16°32'19.3""E",37f8b795c2d22b6d5b8e1b8d01c3947c40b67b6eba3fc7bb10b07a4aad0d5e3f,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,Řadový,2,120 m²,239 m²,Smíšená,Dobrý,,"230 V, 400 V",Kanalizace,92 m²,Patrový,G,,,,,Dálkový rozvod,Ano,Obytná,MHD,,Plynovod,,,,,,,,,,,,
414329,https://www.remax-czech.cz/reality/detail/414329/prodej-pozemku-679-m2-ludgerovice,"Prodej pozemku 679 m², Ludgeřovice(ID 306-NP83330)","2 200 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 306-NP83330,Pro bydlení,679 m²,"Vodovod, Kanalizace, Elektřina",Pozemky,Rušná část obce,"49°53'36""N,18°14'20.3""E",e920428c475d7793fc95dc2a166250fc68d0a0a9cbedb64b33e40b2353fa031f,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,,,,,,15. 5. 2025,,Kanalizace,,,,,,,,Dálkový rozvod,,,,,,,,,,,,,,,,,
414464,https://www.remax-czech.cz/reality/detail/414464/prodej-domu-65-m2-ruprechtov,"Prodej domu 65 m², Ruprechtov(ID 058-NP04338)","7 243 800
																		CZK/ za nemovitost",včetně provize a právních služeb,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 058-NP04338,,,,Domy a vily,Klidná část obce,"49°19'36.6""N,16°51'34.4""E",854055276f70e2663701ab1892756faf686383e083ebc90204296c37da418125,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,Samostatný,1,65 m²,1 436 m²,Dřevěná,Velmi dobrý,,"230 V, 400 V",Kanalizace,76 m²,Přízemní,B,,,,,,Ano,Obytná,"Silnice, Autobus",,,Internet,,,,1 360 m²,2,,,,"Školka, Zdravotnická zařízení, Pošta, Supermarket",,
414471,https://www.remax-czech.cz/reality/detail/414471/prodej-bytu-3-1-v-osobnim-vlastnictvi-81-m2-uhersky-brod,"Prodej bytu 3+1 v osobním vlastnictví 81 m², Uherský Brod(ID 198-NP02617)","4 250 000
																		CZK/ za nemovitost",včetně všech poplatků a provize,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 198-NP02617,,,,Byty,Okraj obce,"49°01'51.6""N,17°38'47.1""E",aae221083fca7e958901e480f392b1b5087b3e6f195cdaff7cae4f5bd8ded271,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,3,70 m²,,Cihlová,Dobrý,16. 5. 2025,230 V,Kanalizace,383 m²,,G,3+1,3,81 m²,Osobní,Dálkový rozvod,Ano,Obytná,"Vlak, Silnice, MHD, Autobus",,Plynovod,,,,,,,,,,,,
414482,https://www.remax-czech.cz/reality/detail/414482/prodej-chaty-chalupy-53-m2-nova-cerekev,"Prodej chaty / chalupy 53 m², Nová Cerekev(ID 143-NP07027)","2 330 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 143-NP07027,,53 m²,,Chaty a rekreační objekty,Polosamota,"49°24'14""N,15°09'34.1""E",3349c808825d2402ddfb6de3955fda24e005278aa4ec2b8e6abbebb8b68e20d7,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,Samostatný,,53 m²,423 m²,Cihlová,Dobrý,,230 V,,41 m²,Patrový,G,,,,,,Ano,,,,,,,,,,,,,,,,
414440,https://www.remax-czech.cz/reality/detail/414440/prodej-domu-245-m2-novy-knin,"Prodej domu 245 m², Nový Knín(ID 218-NP06444)","15 300 000
																		CZK/ za nemovitost",Cena včetně provize a právního servisu.,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 218-NP06444,,,,Domy a vily,Klidná část obce,"49°47'04.2""N,14°17'26.2""E",2a5505621d224c04c5873a985b3685bd8db42e58996e917088e884f51cb9f23a,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,Samostatný,2,245 m²,2 100 m²,Smíšená,Velmi dobrý,15. 5. 2025,,"Kanalizace, Septik",245 m²,Patrový,G,,,,,Dálkový rozvod,Ano,Obytná,"Vlak, Dálnice, Silnice, MHD, Autobus",Ano,,Internet,,,,1 856 m²,,,,,,,
414454,https://www.remax-czech.cz/reality/detail/414454/prodej-domu-340-m2-usti-nad-labem,"Prodej domu 340 m², Ústí nad Labem(ID 020-NP10187)","8 799 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 020-NP10187,,,,Domy a vily,Klidná část obce,"50°39'26.6""N,14°04'07.2""E",eae14bfec20ec9acb697cb2391b9f1a1e959007de593870d281ce91636c61eb7,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,Samostatný,3,340 m²,5 377 m²,Cihlová,Před rekonstrukcí,,"230 V, 400 V",Septik,114 m²,Patrový,G,,,,,Dálkový rozvod,Ano,,"Vlak, Dálnice, Silnice, MHD, Autobus",,,,,,,,,1,,,,,
414426,https://www.remax-czech.cz/reality/detail/414426/prodej-domu-179-m2-sobesice,"Prodej domu 179 m², Soběšice(ID 316-414426)","4 600 000
																		CZK/ za nemovitost","Uvedená cena je včetně právního servisu, provize RK + 21% DPH.",Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 316-414426,,,,Domy a vily,Okraj obce,"49°12'12.6""N,13°39'35.4""E",887990f4947ba2d2aa550288d3ed6d18e8ad9b94c3dc61fe0da461019dc71381,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,Samostatný,2,179 m²,522 m²,Cihlová,Před rekonstrukcí,16. 5. 2025,230 V,Kanalizace,127 m²,Patrový,G,,,,,"Zdroj pro celý objekt, Dálkový rozvod",Ano,Obytná,"Dálnice, Silnice, Autobus",Ano,,,,,,256 m²,4,,,,,,
414385,https://www.remax-czech.cz/reality/detail/414385/prodej-domu-151-m2-sedlcany,"Prodej domu 151 m², Sedlčany(ID 218-NP06441)","11 980 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 218-NP06441,,,,Domy a vily,,"49°39'12.6""N,14°25'10.5""E",2cdd40e8eec2b5abbae20067f41850d20fb351439b4b0244384eff32f90fe55d,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,Řadový,2,151 m²,151 m²,Cihlová,Velmi dobrý,,,Kanalizace,,Patrový,G,,,,,,,,,,Plynovod,,,,,800 m²,,,,,,,
414462,https://www.remax-czech.cz/reality/detail/414462/prodej-bytu-2-1-v-druzstevnim-vlastnictvi-57-m2-ostrava,"Prodej bytu 2+1 v družstevním vlastnictví 57 m², Ostrava(ID 306-NP83331)","2 950 000
																		CZK/ za nemovitost",,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,ID 306-NP83331,,,,Byty,Rušná část obce,"49°49'54.7""N,18°10'39.1""E",297c45a335a17830021fc631f0a49b5105d260afd689c5c64c740b8d9a5a2b3b,remax,2025-05-16 21:01:54,2025-05-16 21:01:54,False,,5,56 m²,,Panelová,Velmi dobrý,,230 V,Kanalizace,,,D,2+1,3,57 m²,Družstevní,Dálkový rozvod,,Obytná,"Vlak, Dálnice, Silnice, MHD, Autobus",,Plynovod,,,,,,,,,,,,
